idx,process,process_general,origin,origin_region,roast,grind,arabica_percentage,pure_arabica,washed,natural,fermented_traditional,fermented_closed_tank,brewing_method
228,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
229,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
230,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
231,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
232,Natural,Natural,Kolumbia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
233,Washed,Washed,"Rwanda, inne",Mixed,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
234,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
235,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
236,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
237,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
238,Honey,Honey,Indie,Asia,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
239,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
240,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
